Time_Local,Open,High,Low,Close,Delta_%,Action,Entry,Exit,PnL_USD
02:25,69261.6,69278.9,69127.2,69182.0,0.115,SHORT,69182.0,69251.2,-0.03
02:30,69182.0,69335.5,69117.2,69117.2,0.094,NONE,-,-,-
02:35,69117.2,69250.4,69096.8,69232.4,0.167,LONG,69232.4,69312.7,0.0348
02:40,69232.4,69437.7,69218.2,69312.7,0.116,LONG,69312.7,69243.4,-0.03
02:45,69312.7,69342.6,69213.0,69213.0,0.144,SHORT,69213.0,69131.2,0.0355
02:50,69213.0,69275.2,69131.2,69131.2,0.118,SHORT,69131.2,69083.8,0.0206
02:55,69131.2,69168.1,69071.2,69083.8,0.069,NONE,-,-,-
03:00,69083.8,69139.6,68892.3,68922.7,0.233,SHORT,68922.7,68991.6,-0.03
03:05,68922.7,68999.5,68878.1,68920.7,0.003,NONE,-,-,-
03:10,68920.7,68976.0,68854.0,68854.6,0.096,NONE,-,-,-
03:15,68854.7,68914.9,68840.0,68867.6,0.019,NONE,-,-,-
03:20,68867.6,68963.5,68834.2,68923.0,0.081,NONE,-,-,-
03:25,68923.0,68991.9,68923.0,68985.2,0.09,NONE,-,-,-
03:30,68985.2,68985.2,68838.0,68871.0,0.166,SHORT,68871.0,68939.9,-0.03
03:35,68871.0,68963.5,68852.6,68905.5,0.05,NONE,-,-,-
03:40,68905.5,68905.5,68800.6,68800.7,0.152,SHORT,68800.7,68869.5,-0.03
03:45,68800.7,68874.1,68787.1,68795.2,0.008,NONE,-,-,-
03:50,68795.2,68876.1,68795.2,68800.3,0.007,NONE,-,-,-
03:55,68800.3,68835.2,68788.6,68810.2,0.014,NONE,-,-,-
04:00,68810.2,68950.0,68776.6,68942.4,0.192,LONG,68942.4,68873.4,-0.03
04:05,68942.4,68951.9,68823.9,68942.0,0.001,NONE,-,-,-
04:10,68942.0,69326.8,68908.1,69112.6,0.25,LONG,69114.6,69255.3,0.0611
04:15,69114.6,69295.8,69101.8,69255.3,0.207,LONG,69257.6,69188.3,-0.03
04:20,69257.6,69317.6,69128.0,69158.0,0.144,SHORT,69158.0,69227.1,-0.03
04:25,69158.0,69258.3,69122.0,69233.8,0.11,LONG,69233.8,69341.2,0.0465
04:30,69233.8,69408.4,69233.8,69341.2,0.155,LONG,69341.2,69271.8,-0.03
04:35,69341.2,69347.5,69238.0,69276.9,0.093,NONE,-,-,-
04:40,69276.9,69276.9,69188.9,69221.1,0.08,NONE,-,-,-
04:45,69221.1,69305.3,69207.0,69254.5,0.048,NONE,-,-,-
04:50,69254.5,69301.8,69207.0,69223.0,0.045,NONE,-,-,-
04:55,69223.0,69270.0,69208.0,69208.0,0.022,NONE,-,-,-
05:00,69208.0,69257.4,69208.0,69214.0,0.009,NONE,-,-,-
05:05,69214.0,69259.1,69155.7,69179.7,0.05,NONE,-,-,-
05:10,69179.7,69254.6,69119.1,69131.1,0.07,NONE,-,-,-
05:15,69131.1,69166.4,69070.7,69083.5,0.069,NONE,-,-,-
05:20,69083.5,69170.0,69056.9,69164.0,0.117,LONG,69164.0,69182.0,0.0078
05:25,69164.0,69207.0,69160.5,69182.0,0.026,NONE,-,-,-
05:30,69182.0,69232.5,69162.4,69202.1,0.029,NONE,-,-,-
05:35,69202.1,69221.4,69177.0,69177.0,0.036,NONE,-,-,-
05:40,69177.0,69177.0,69079.7,69120.0,0.082,NONE,-,-,-
05:45,69120.0,69152.2,69096.7,69114.6,0.008,NONE,-,-,-
05:50,69114.6,69140.4,69067.8,69075.3,0.057,NONE,-,-,-
05:55,69075.3,69123.7,69069.0,69123.7,0.07,NONE,-,-,-
06:00,69123.7,69200.0,69123.7,69200.0,0.11,LONG,69200.0,69130.8,-0.03
06:05,69200.0,69200.0,69033.3,69041.1,0.23,SHORT,69041.1,69075.9,-0.0151
06:10,69041.1,69075.9,69010.2,69075.9,0.05,NONE,-,-,-
06:15,69075.9,69081.3,69001.5,69001.5,0.108,SHORT,69001.5,68999.1,0.001
06:20,69001.5,69020.9,68995.0,68999.1,0.003,NONE,-,-,-
06:25,68999.1,69010.4,68980.4,69000.0,0.001,NONE,-,-,-
06:30,69000.0,69055.6,68995.2,69051.4,0.074,NONE,-,-,-
06:35,69051.4,69210.1,69051.4,69207.9,0.227,LONG,69207.9,69184.1,-0.0103
06:40,69207.9,69210.1,69150.9,69184.1,0.034,NONE,-,-,-
06:45,69184.1,69217.7,69148.1,69151.3,0.047,NONE,-,-,-
06:50,69151.3,69173.8,69126.0,69172.4,0.03,NONE,-,-,-
06:55,69172.4,69172.4,69136.3,69141.8,0.044,NONE,-,-,-
